title,creators,year_or_source,source_queries_matched,permalink
Do SDN configuration changes get reviewed differently? An empirical study at TELUS,"Kansab, Samah ; Aïdasso, Henri ; Bordeleau, Francis ; Tizghadam, Ali","Empirical software engineering : an international journal, 2026-06, Vol.31 (6), p.165",SQ1;SQ2;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_springer_journals_10_1007_s10664_026_10897_1
WebAssembly Orchestration in the Context of Serverless Computing,"Kjorveziroski, Vojdan ; Filiposka, Sonja","Journal of network and systems management, 2023-07, Vol.31 (3), p.62, Article 62",SQ1;SQ2;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_crossref_citationtrail_10_1007_s10922_023_09753_0
An Empirical Study of Automated Machine Learning Python Libraries Using Source Code Analysis,"O’Leary, Christian ; Lynch, Conor ; Toosi, Farshad Ghassemi","Applied Computer Systems (Online), 2026-01, Vol.31 (1), p.95-115",SQ1;SQ2;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_walterdegruyter_journals_10_2478_acss_2026_000931195
Building a Modular and Fault-Tolerant Trading System: A Microservices Approach to Scalable Asset Exchange,"Guru, Dhivya ; Chinnaiah, Baskar ; Subramaniam, Senthilraj","International journal of software innovation, 2026-01, Vol.14 (1), p.1-29",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_crossref_primary_10_4018_IJSI_398844
An Empirical Study on Quality Issues of Deep Learning Platform,"Gao, Yanjie ; Shi, Xiaoxiang ; Lin, Haoxiang ; Zhang, Hongyu ; Wu, Hao ; Li, Rui ; Yang, Mao","IEEE/ACM International Conference on Software Engineering: Software Engineering in Practice (Online), 2023, p.455-466",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1109_ICSE_SEIP58684_2023_00052_brief
Empirical evidence on technical challenges when adopting continuous practices,"Portela, André ; de França, Breno Bernard Nicolau","Proceedings of the XXXVII Brazilian Symposium on Software Engineering, 2023, p.11-20",SQ1;SQ2;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_acm_books_10_1145_3613372_3613390_brief
ActionsRemaker: Reproducing GitHub Actions,"Zhu, Hao-Nan ; Guan, Kevin Z. ; Furth, Robert M. ; Rubio-González, Cindy","Proceedings (IEEE/ACM International Conference on Software Engineering Companion. Online), 2023, p.11-15",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_ieee_primary_10172488
On combining commit grouping and build skip prediction to reduce redundant continuous integration activity,"Kamath, Divya M. ; Fernandes, Eduardo ; Adams, Bram ; Hassan, Ahmed E.","Empirical software engineering : an international journal, 2024-11, Vol.29 (6), p.145, Article 145",SQ1,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_crossref_citationtrail_10_1007_s10664_024_10477_1
"""@alex, this fixes #9"": Analysis of Referencing Patterns in Pull Request Discussions","Chopra, Ashish ; Mo, Morgan ; Dodson, Samuel ; Beschastnikh, Ivan ; Fels, Sidney S. ; Yoon, Dongwook","Proceedings of the ACM on human-computer interaction, 2021-10, Vol.5 (CSCW2), p.1-25, Article 385",SQ1;SQ2;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_crossref_primary_10_1145_3479529
Software-Defined Edge Cloud Framework for Resilient Multitenant Applications,"Divakara, Chinmayi ; Kamaal, Tejeshwar ; Gurudutt, Abhishek ; Manangi Ravindrarao, Nagthej ; Liu, Kaikai ; Prabhakaran, Praveen; Chen, Yu","Wireless communications and mobile computing, 2019, Vol.2019 (2019), p.1-17",SQ1;SQ3,https://pesquisa.b-on.pt/permalink/351BON_INST/cbhhhe/cdi_hindawi_primary_10_1155_2019_3947286
